iteration,day,mass,kinetic_energy,potential_energy,mechanical_energy
0.0,0.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
1440.0,1.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
2880.0,2.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
4320.0,3.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
5760.0,4.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
7200.0,5.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
8640.0,6.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
10080.0,7.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
11520.0,8.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
12960.0,9.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
14400.0,10.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
15840.0,11.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
17280.0,12.0,2.0402578876391532e+18,1.0137893936100068e+24,0.0,1.0137893936100068e+24
