iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,1.2048432687628593e+18,1.2048432687628593e+18,nan,nan,6.630347414159491e+20,1.814738907553391e+21,2.47777364896934e+21,1299903.7924233545,1.4938077896396745e-22,7.004151730824273e-06,-0.00015093926610094076,0.0001509392661009408,-4.084184900412617e-24,5.478310516938661e-08,-2.7036000711194135e-07,2.7036000711194135e-07
8640,1.0,1.0,0,1.2048432687628598e+18,1.2048432687628598e+18,nan,nan,6.630343293874362e+20,1.8147394072027839e+21,2.47777373659022e+21,1299902.9846264275,1.2325235708270092e-11,7.020543146221823e-06,-0.0011269574189278092,0.000586658011490533,9.823426491062133e-15,5.4784881288808254e-08,-8.95110711230694e-07,6.682659683623608e-07
17280,2.0,1.0,0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.630347402275979e+20,1.8147388830900308e+21,2.477773623317629e+21,1299903.7900935486,-9.55430548152009e-11,7.0164200722775975e-06,-0.0008584029956000733,0.001120213079969285,-8.873900758205088e-14,5.4784200379859205e-08,-6.502927037917558e-07,1.1554077114787397e-06
25920,3.0,1.0,0,1.2048432687628593e+18,1.2048432687628593e+18,nan,nan,6.630343703181452e+20,1.8147393412549913e+21,2.4777737115731367e+21,1299903.0648725752,-1.2905187331888154e-10,7.01430205943532e-06,-0.0010003368861720358,0.0012755592077421324,-1.2014390663717221e-13,5.478390189148817e-08,-7.799630159124521e-07,1.2974141141445337e-06
34560,4.0,1.0,0,1.2048432687628598e+18,1.2048432687628598e+18,nan,nan,6.63034707075011e+20,1.814738907927349e+21,2.47777361500236e+21,1299903.7250966928,-1.4442988965216739e-10,7.012617561293534e-06,-0.0007990504815983994,0.0008081324460680052,-1.3422015437178325e-13,5.478368572931268e-08,-5.963060363190641e-07,8.708655212242448e-07
43200,5.0,1.0,0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.630344334231121e+20,1.8147392611159947e+21,2.4777736945391066e+21,1299903.1885921645,-1.5327141499722135e-10,7.011817080080401e-06,-0.0005148111302185417,0.0003991241764563402,-1.424567382019974e-13,5.478358354334383e-08,-3.368579944310217e-07,4.975319871289525e-07
51840,6.0,1.0,0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.630346334665053e+20,1.814739014875519e+21,2.477773648342024e+21,1299903.5807845327,-1.586934385735327e-10,7.011417111276418e-06,-0.00048317554263228635,0.000462286582267744,-1.4773107415221465e-13,5.4783528661263664e-08,-3.079955023059553e-07,5.55231535524611e-07
60480,7.0,1.0,0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.630345134897605e+20,1.814739161472804e+21,2.4777736749625644e+21,1299903.3455657489,-1.6310488575441995e-10,7.0111366046756035e-06,-0.0004697075954462125,0.0003602471273610282,-1.5180844911343818e-13,5.478348870388464e-08,-2.9571151477338357e-07,4.6208706613598937e-07
69120,8.0,1.0,0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.630345628298804e+20,1.814739094561642e+21,2.4777736573915224e+21,1299903.4422988533,-1.633537534372291e-10,7.0108491630220165e-06,-0.00045871720376834414,0.000300608895984277,-1.5262769075804025e-13,5.478345756529224e-08,-2.856820098016364e-07,4.076417650661158e-07
77760,9.0,1.0,0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.630345951002473e+20,1.8147390553256186e+21,2.477773650425866e+21,1299903.5055660848,-1.6770236609288035e-10,7.010739709638238e-06,-0.00046862060270666555,0.00027351185257762654,-1.5610363253031162e-13,5.478343481361675e-08,-2.947202298553522e-07,3.8289639724417104e-07
86400,10.0,1.0,0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.630344747385985e+20,1.8147392122328297e+21,2.477773686971428e+21,1299903.2695926826,-1.6396507003395772e-10,7.0105546383676075e-06,-0.0004277419175079549,0.00025256933663890925,-1.5279526548808725e-13,5.478342491697381e-08,-2.703844779328779e-07,3.637528887744486e-07
95040,11.0,1.0,0,1.2048432687628603e+18,1.2048432687628603e+18,nan,nan,6.630346682411833e+20,1.8147389619899799e+21,2.477773630231163e+21,1299903.6489615573,-1.6113096395765585e-10,7.01018032711767e-06,-0.0005484830608250444,0.00018532526864568048,-1.494387467954289e-13,5.4783388008099315e-08,-3.6756309082597436e-07,3.0242670215551275e-07
103680,12.0,1.0,0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.630344063941407e+20,1.8147393005224762e+21,2.4777737069166167e+21,1299903.1356008803,-1.4981734114417015e-10,7.0091224634244256e-06,-0.0005126094278224155,0.00019937255920560675,-1.3921815994308732e-13,5.4783304026978376e-08,-3.3468771249346705e-07,3.151263468064535e-07
