iteration,day,l1,l2,linf,rel_max,rel_min,mass_rel,model_max,model_min,exact_max,exact_min,max_change_from_initial
0.0,0.0,2.0563125514170195e-08,2.3439537004853824e-08,3.0467749550040916e-08,1.1450241602075711e-08,0.0,-3.647664720302295e-10,999.7886352539062,0.0,999.788623806085,0.0,0.0
1440.0,1.0,1.9806532979262432,1.4126024655256226,1.0000000114502368,1.1450236712508095e-08,-4.6160958624460416e-10,-3.6476194279668343e-10,999.7886352539062,-4.6151201296719135e-07,999.7886238060898,0.0,1.000024910702294e-06
2880.0,2.0,2.000000000926919,1.4142135618205365,1.0000000114502368,1.1450236712508095e-08,-9.232191724892809e-10,-3.64756698420999e-10,999.7886352539062,-9.230240259344552e-07,999.7886238060898,0.0,2.0000498214046167e-06
4320.0,3.0,2.0000000015727633,1.4142135618205414,1.0000000114502416,1.1450241602075711e-08,-1.3848287587338244e-09,-3.647503813321066e-10,999.7886352539062,-1.3845360389015792e-06,999.788623806085,0.0,3.0000747321069397e-06
5760.0,4.0,2.0000000022186093,1.4142135618205471,1.0000000114502416,1.1450241602075711e-08,-1.8464383449783536e-09,-3.647427531492936e-10,999.7886352539062,-1.8460480518686932e-06,999.788623806085,0.0,4.000099642809262e-06
7200.0,5.0,2.000000002864449,1.4142135618205496,1.0000000114502368,1.1450236712508095e-08,-2.3080479312231356e-09,-3.6474036934216323e-10,999.7886352539062,-2.3075600648360716e-06,999.7886238060898,0.0,5.000124553511585e-06
8640.0,6.0,2.0000000035102925,1.4142135618205542,1.0000000114502416,1.1450241602075711e-08,-2.769657517467981e-09,-3.647351249664787e-10,999.7886352539062,-2.7690720778034905e-06,999.788623806085,0.0,6.000149464213908e-06
10080.0,7.0,2.0000000041561328,1.4142135618205567,1.0000000114502368,1.1450236712508095e-08,-3.2312671037127994e-09,-3.647322643979226e-10,999.7886352539062,-3.2305840907709094e-06,999.7886238060898,0.0,7.000174374916231e-06
11520.0,8.0,2.0000000048019797,1.4142135618205633,1.0000000114502368,1.1450236712508095e-08,-3.692876689957631e-09,-3.647236826922582e-10,999.7886352539062,-3.6920961037383283e-06,999.7886238060898,0.0,8.000199285618553e-06
12960.0,9.0,2.0000000054478217,1.4142135618205671,1.0000000114502416,1.1450241602075711e-08,-4.154486276202483e-09,-3.647191534587122e-10,999.7886352539062,-4.153608116705747e-06,999.788623806085,0.0,9.000224196320876e-06
14400.0,10.0,2.0000000060936647,1.4142135618205713,1.0000000114502368,1.1450236712508095e-08,-4.6160958624472945e-09,-3.6471474341552263e-10,999.7886352539062,-4.615120129673166e-06,999.7886238060898,0.0,1.00002491070232e-05
15840.0,11.0,1.9806533043869243,1.4126024655256673,1.0000000114502465,1.1450246491643328e-08,-5.077705448692176e-09,-3.64708068755561e-10,999.7886352539062,-5.0766321426405845e-06,999.7886238060801,0.0,1.1000274017725522e-05
17280.0,12.0,2.8348506988298815e-08,2.3531999294929598e-08,3.046578462614696e-08,1.1450241602075711e-08,-5.539315034936985e-09,-3.6470353952201497e-10,999.7886352539062,-5.538144155608003e-06,999.788623806085,0.0,1.2000298928427845e-05
