iteration,day,normalized_l1,normalized_l2,normalized_linf,mean_error,mean_abs_error,rmse,max_abs_error,min_error,max_error,relative_mass_error
0.0,0.0,4.475065916143337,1.041704156959197,0.9699936573735023,21.775607819189062,36.80469712934277,71.97937526910279,969.788623806085,-969.788623806085,30.0,2.6476859736815186
1440.0,1.0,4.4750659161433335,1.041704156959197,0.9699936573735024,21.775607819189055,36.80469712934278,71.97937526910283,969.7886238060898,-969.7886238060898,30.0,2.6476859736815155
2880.0,2.0,4.475065916143334,1.041704156959197,0.9699936573735024,21.775607819189055,36.80469712934278,71.97937526910282,969.7886238060898,-969.7886238060898,30.0,2.647685973681516
4320.0,3.0,4.475065916143337,1.041704156959197,0.9699936573735023,21.775607819189062,36.80469712934276,71.97937526910276,969.788623806085,-969.788623806085,30.0,2.6476859736815195
5760.0,4.0,4.475065916143346,1.0417041569591972,0.9699936573735023,21.775607819189084,36.80469712934275,71.97937526910263,969.788623806085,-969.788623806085,30.0,2.647685973681528
7200.0,5.0,4.475065916143335,1.041704156959197,0.9699936573735024,21.775607819189062,36.80469712934277,71.9793752691028,969.7886238060898,-969.7886238060898,30.0,2.6476859736815177
8640.0,6.0,4.475065916143335,1.041704156959197,0.9699936573735023,21.775607819189062,36.80469712934277,71.97937526910279,969.788623806085,-969.788623806085,30.0,2.6476859736815177
10080.0,7.0,4.475065916143328,1.0417041569591965,0.9699936573735024,21.77560781918904,36.80469712934279,71.97937526910293,969.7886238060898,-969.7886238060898,30.0,2.647685973681509
11520.0,8.0,4.475065916143339,1.041704156959197,0.9699936573735024,21.77560781918907,36.80469712934276,71.97937526910273,969.7886238060898,-969.7886238060898,30.0,2.6476859736815213
12960.0,9.0,4.475065916143337,1.041704156959197,0.9699936573735023,21.775607819189062,36.80469712934277,71.97937526910279,969.788623806085,-969.788623806085,30.0,2.6476859736815186
14400.0,10.0,4.475065916143334,1.041704156959197,0.9699936573735024,21.775607819189055,36.80469712934278,71.97937526910282,969.7886238060898,-969.7886238060898,30.0,2.647685973681516
15840.0,11.0,4.475065916143338,1.041704156959197,0.9699936573735022,21.77560781918907,36.80469712934276,71.97937526910275,969.7886238060801,-969.7886238060801,30.0,2.647685973681521
17280.0,12.0,4.475065916143337,1.041704156959197,0.9699936573735023,21.775607819189062,36.80469712934277,71.97937526910279,969.788623806085,-969.788623806085,30.0,2.6476859736815186
